,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,1,2,,RT2,부사구가 형용사를 수식할 때의 부사구의 위치를 고르시오.,형용사 바로 앞,형용사 바로 뒤,문장 맨 앞,문장 맨 뒤,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,1,2,,RT4,전명구가 형용사구일 때 수식하는 것을 고르시오.,명사,동사,형용사,부사,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,1,2,,RT4,전명구가 명사를 수식 할 때 전명구의 위치를 고르시오.,명사 바로 뒤,명사 바로 앞,문장 맨 앞,아무곳이나 상관 없다.,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,1,1,,RT7,다음 빈칸에 들어갈 말로 적절한 것은? 1형식 : 주어 + (         ),자동사,타동사,부사,명사,추가변형,1형식 구조로 옳은 것을 고르시오.,,주어+동사+부사,주어+동사+부사+형용사+부사,주어+동사+목적어,주어+동사+목적어+목적격보어,,,,,,,,,,,,
Syntax Build-Up,1,1,,RT7,다음 빈칸에 들어갈 말로 적절한 것은? 3형식 : 주어 + 타동사 + (         ),목적어,보어,술어,부사,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,1,1,,RT9,부사의 특징으로 옳은 것은?,문장에서 수백개를 사용할 수 있다,문장에서 사용할 수 있는 개수가 정해져 있다,문장의 맨 앞에 위치해야 한다,문장에서 수십개 이상 사용을 해서는 안된다,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,1,1,,RT9,부사의 역할로 적절하지 않은 것은?,명사 수식,동사 수식,다른 부사 수식,문장전체 수식,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,1,1,,RT9,부사의 해석은 보통 어떻게 끝나는지 고르시오,~하게,하다,하는,한,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,2,1,,미표기,주어진 보기 중에서 목적어의 해석을 고르시오.,,~을,, 를,,,~은,, 는,,,~이,, 가,,~하게,추가변형,목적어가 될 수 있는 문장성분을 고르시오.,,명사,형용사,부사,동사
Syntax Build-Up,2,2,,RT12,다음 중 'The + boy'는 무엇인지 고르시오.,명사구,명사절,형용사구,형용사절,추가변형,명사구의 형태로 옳지 <u>않은</u> 것을 고르시오.,,명사 + 동사,전치수식 받는 명사,명사 and 명사,후치수식 받는 명사,,,,,,,,,,,,
Syntax Build-Up,2,2,,RT14,rapid의 품사를 고르시오.,형용사,부사,동사,명사,역변형,품사가 부사인 것을 고르시오.,,rapidly,rapid,rapidness,rapidity,,,,,,,,,,,,
Syntax Build-Up,4,4,,RT30,전명구에 대한 설명으로 옳지 않은 것을 고르시오,동사를 수식할 수 없다,명사를 수식할 수 있다.,형용사와 부사의 역할을 한다,문장 전체를 수식할 수 있다,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,4,4,T20,RT없음.,into 해석법이 <u>아닌</u> 것은?,~에게,~쪽으로,~안으로,~로,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,4,4,T20,RT없음.,into 해석법으로 맞는 것은?,~안으로,~에게,~을 위해,~ 밖으로,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,4,4,T23,RT없음.,to 해석법이 <u>아닌</u> 것은?,~안으로,~로,~에게,~까지,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,4,4,T23,RT없음.,to 해석법으로 맞는 것은?,~에게,~안으로,~을 위해,~와 함께,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,6,6,,RT52,다음 중 many의 최상급을 고르시오,most,much,more,less,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,6,5,,RT54,다음 중 spot이 동사일 때 뜻을 고르시오.,발견하다,머무르다,멈추다,지속시키다,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,7,7,,RT66,빈도 부사의 위치가 정확히 설명된 것을 고르시오,,조동사,, be동사 (뒤) / 일반동사(앞),,,조동사,, be동사(앞) / 일반동사(뒤),,,조동사,, 일반동사(앞) / be동사(뒤),,,조동사,, 일반동사(뒤) / be동사(앞),,,,
Syntax Build-Up,9,7,,RT81,with N 의 품사와 뜻이 올바르게 연결되지 않은 것을 고르시오,형용사구 - N와 함께,부사구 - N와 함께,형용사구 - N를 지닌,형용사구 - N를 소유한,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,9,10,,RT88,다음 단어 어순이 명사 + 형용사 순으로 와야 하는 명사가 아닌 것은?,interesting,anything,something,everybody,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,9,9,,RT89,조동사의 의문문 형태로 알맞은 것을 고르시오,조동사 + S + 동사원형~?,Be동사 + 주어 + 동사원형 ~?,,Do,, Does,, Did + S + 동사원형 ~?,,조동사 + 동사원형 + S ~?,,,,,,,,,,,,,
Syntax Build-Up,10,10,,RT91,get의 해석이 아닌 것은?,닮다,가다,되다,얻다,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,10,10,,RT98,3형식 문장이 아닌 것을 고르시오,Jenny got better in the hospital.,He felt something special in the pocket.,He gives some money to his friend.,She wants more cookies for my parents.,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,10,10,,RT98,어법상 옳은 문장을 고르시오,A cat reached the top of the tree.,My son resembles with my husband.,They discuss about an issue for a month.,she will mary with Tom this month.,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,13,13,,RT124,make의 형식상 해석과 맞지 않는 것은?,2형식 / 만들어주다,3형식 / ~을 만들다,4형식 / ~에게 ~를 만들어주다,5형식 / ~을 ~로 만들다,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,14,14,,RT131,동명사에 대한 설명이 <u>아닌</u> 것을 고르시오.,명사를 수식한다.,주어 자리에 들어간다.,목적어 자리에 들어간다.,보어자리에 들어 갈 수 있다.,역변형,명사 수식을 하지 <u>않는</u> 품사는 무엇인지 고르시오.,,동명사,형용사,형용사구,형용사절,,,,,,,,,,,,
Syntax Build-Up,14,14,,RT131,동명사에 대한 해석으로 올바른 것을 고르시오.,~ 하는 것,~ 하기 위해,~하는 중,~하는,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,14,14,,RT135,다음 중 준동사의 종류가 <u>아닌</u> 것은?,동사구,동명사,to부정사,현재분사,,,,,,,,,,,,,,,,,,,
Syntax Build-Up,14,14,,RT136,'in ~ing'의 해석으로 적절한 것을 고르시오.,~함에 있어서,~함으로써,~하자마자,~하는 것 외에,,,,,,,,,,,,,,,,,,,
